period_dt,cat,cpi,coef
1996-01-01,rice,89.74,56.0
1996-02-01,rice,89.9,56.0
1996-03-01,rice,90.07,56.0
1996-04-01,rice,89.85,56.0
1996-05-01,rice,89.91,56.0
1996-06-01,rice,89.55,56.0
1996-07-01,rice,89.33,56.0
1996-08-01,rice,89.82,56.0
1996-09-01,rice,89.71,56.0
1996-10-01,rice,89.54,56.0
1996-11-01,rice,89.38,56.0
1996-12-01,rice,89.13,56.0
1997-01-01,rice,88.93,56.0
1997-02-01,rice,87.39,56.0
1997-03-01,rice,86.62,56.0
1997-04-01,rice,87.8,56.0
1997-05-01,rice,88.01,56.0
1997-06-01,rice,87.99,56.0
1997-07-01,rice,88.2,56.0
1997-08-01,rice,88.2,56.0
1997-09-01,rice,88.28,56.0
1997-10-01,rice,87.98,56.0
1997-11-01,rice,88.23,56.0
1997-12-01,rice,88.94,56.0
1998-01-01,rice,88.78,56.0
1998-02-01,rice,89.1,56.0
1998-03-01,rice,89.03,56.0
1998-04-01,rice,89.31,56.0
1998-05-01,rice,88.86,56.0
1998-06-01,rice,88.04,56.0
1998-07-01,rice,88.2,56.0
1998-08-01,rice,87.11,56.0
1998-09-01,rice,87.73,56.0
1998-10-01,rice,88.13,56.0
1998-11-01,rice,88.06,56.0
1998-12-01,rice,88.51,56.0
1999-01-01,rice,88.52,56.0
1999-02-01,rice,88.32,56.0
1999-03-01,rice,87.7,56.0
1999-04-01,rice,88.05,56.0
1999-05-01,rice,87.79,56.0
1999-06-01,rice,87.19,56.0
1999-07-01,rice,87.4,56.0
1999-08-01,rice,87.11,56.0
1999-09-01,rice,87.56,56.0
1999-10-01,rice,87.05,56.0
1999-11-01,rice,89.33,56.0
1999-12-01,rice,88.81,56.0
2000-01-01,rice,90.45,40.0
2000-02-01,rice,91.2,40.0
2000-03-01,rice,90.66,40.0
2000-04-01,rice,90.91,40.0
2000-05-01,rice,91.54,40.0
2000-06-01,rice,91.4,40.0
2000-07-01,rice,91.19,40.0
2000-08-01,rice,91.42,40.0
2000-09-01,rice,92.02,40.0
2000-10-01,rice,92.76,40.0
2000-11-01,rice,93.37,40.0
2000-12-01,rice,93.08,40.0
2001-01-01,rice,93.77,40.0
2001-02-01,rice,92.92,40.0
2001-03-01,rice,93.57,40.0
2001-04-01,rice,93.76,40.0
2001-05-01,rice,94.04,40.0
2001-06-01,rice,93.67,40.0
2001-07-01,rice,92.59,40.0
2001-08-01,rice,93.77,40.0
2001-09-01,rice,93.86,40.0
2001-10-01,rice,94.33,40.0
2001-11-01,rice,93.22,40.0
2001-12-01,rice,93.03,40.0
2002-01-01,rice,94.17,40.0
2002-02-01,rice,94.29,40.0
2002-03-01,rice,94.01,40.0
2002-04-01,rice,92.39,40.0
2002-05-01,rice,92.12,40.0
2002-06-01,rice,95.38,40.0
2002-07-01,rice,95.69,40.0
2002-08-01,rice,96.12,40.0
2002-09-01,rice,95.65,40.0
2002-10-01,rice,97.19,40.0
2002-11-01,rice,98.11,40.0
2002-12-01,rice,98.81,40.0
2003-01-01,rice,98.13,40.0
2003-02-01,rice,96.66,40.0
2003-03-01,rice,96.54,40.0
2003-04-01,rice,94.52,40.0
2003-05-01,rice,97.03,40.0
2003-06-01,rice,97.2,40.0
2003-07-01,rice,96.38,40.0
2003-08-01,rice,94.67,40.0
2003-09-01,rice,96.24,40.0
2003-10-01,rice,93.23,40.0
2003-11-01,rice,92.33,40.0
2003-12-01,rice,90.57,40.0
2004-01-01,rice,90.26,40.0
2004-02-01,rice,89.43,40.0
2004-03-01,rice,88.58,40.0
2004-04-01,rice,87.67,40.0
2004-05-01,rice,88.91,40.0
2004-06-01,rice,88.52,40.0
2004-07-01,rice,87.71,40.0
2004-08-01,rice,88.24,40.0
2004-09-01,rice,88.21,40.0
2004-10-01,rice,87.46,40.0
2004-11-01,rice,86.64,40.0
2004-12-01,rice,85.52,40.0
2005-01-01,rice,83.71,40.0
2005-02-01,rice,85.47,40.0
2005-03-01,rice,83.4,40.0
2005-04-01,rice,84.11,40.0
2005-05-01,rice,84.05,40.0
2005-06-01,rice,83.66,40.0
2005-07-01,rice,83.01,40.0
2005-08-01,rice,82.55,40.0
2005-09-01,rice,81.66,40.0
2005-10-01,rice,80.65,40.0
2005-11-01,rice,80.78,40.0
2005-12-01,rice,79.56,40.0
2006-01-01,rice,80.46,53.0
2006-02-01,rice,80.4,53.0
2006-03-01,rice,80.57,53.0
2006-04-01,rice,79.9,53.0
2006-05-01,rice,79.85,53.0
2006-06-01,rice,80.0,53.0
2006-07-01,rice,79.36,53.0
2006-08-01,rice,80.69,53.0
2006-09-01,rice,80.94,53.0
2006-10-01,rice,80.53,53.0
2006-11-01,rice,81.21,53.0
2006-12-01,rice,81.66,53.0
2007-01-01,rice,81.3,54.0
2007-02-01,rice,82.06,54.0
2007-03-01,rice,82.49,54.0
2007-04-01,rice,82.5,54.0
2007-05-01,rice,81.65,54.0
2007-06-01,rice,81.11,54.0
2007-07-01,rice,82.23,54.0
2007-08-01,rice,82.34,54.0
2007-09-01,rice,82.9,54.0
2007-10-01,rice,83.09,54.0
2007-11-01,rice,84.02,54.0
2007-12-01,rice,84.02,54.0
2008-01-01,rice,84.51,48.0
2008-02-01,rice,86.31,48.0
2008-03-01,rice,87.23,48.0
2008-04-01,rice,87.39,48.0
2008-05-01,rice,87.43,48.0
2008-06-01,rice,89.0,48.0
2008-07-01,rice,91.78,48.0
2008-08-01,rice,95.9,48.0
2008-09-01,rice,97.92,48.0
2008-10-01,rice,98.48,48.0
2008-11-01,rice,100.06,48.0
2008-12-01,rice,101.12,48.0
2009-01-01,rice,98.66,46.0
2009-02-01,rice,101.89,46.0
2009-03-01,rice,101.9,46.0
2009-04-01,rice,104.77,46.0
2009-05-01,rice,105.25,46.0
2009-06-01,rice,105.49,46.0
2009-07-01,rice,105.23,46.0
2009-08-01,rice,104.38,46.0
2009-09-01,rice,103.46,46.0
2009-10-01,rice,103.97,46.0
2009-11-01,rice,102.44,46.0
2009-12-01,rice,103.79,46.0
2010-01-01,rice,100.84,44.0
2010-02-01,rice,101.92,44.0
2010-03-01,rice,100.96,44.0
2010-04-01,rice,98.18,44.0
2010-05-01,rice,97.78,44.0
2010-06-01,rice,102.3,44.0
2010-07-01,rice,100.63,44.0
2010-08-01,rice,101.9,44.0
2010-09-01,rice,98.76,44.0
2010-10-01,rice,100.64,44.0
2010-11-01,rice,101.01,44.0
2010-12-01,rice,100.94,44.0
2011-01-01,rice,99.11,40.0
2011-02-01,rice,101.62,40.0
2011-03-01,rice,101.2,40.0
2011-04-01,rice,102.71,40.0
2011-05-01,rice,101.3,40.0
2011-06-01,rice,101.5,40.0
2011-07-01,rice,101.38,40.0
2011-08-01,rice,100.7,40.0
2011-09-01,rice,101.59,40.0
2011-10-01,rice,100.43,40.0
2011-11-01,rice,99.43,40.0
2011-12-01,rice,100.45,40.0
2012-01-01,rice,99.87,43.0
2012-02-01,rice,100.71,43.0
2012-03-01,rice,95.57,43.0
2012-04-01,rice,99.89,43.0
2012-05-01,rice,99.55,43.0
2012-06-01,rice,99.34,43.0
2012-07-01,rice,97.49,43.0
2012-08-01,rice,94.5,43.0
2012-09-01,rice,98.76,43.0
2012-10-01,rice,98.81,43.0
2012-11-01,rice,97.07,43.0
2012-12-01,rice,100.4,43.0
2013-01-01,rice,98.61,42.0
2013-02-01,rice,99.94,42.0
2013-03-01,rice,99.53,42.0
2013-04-01,rice,96.16,42.0
2013-05-01,rice,99.52,42.0
2013-06-01,rice,99.21,42.0
2013-07-01,rice,102.22,42.0
2013-08-01,rice,102.39,42.0
2013-09-01,rice,101.65,42.0
2013-10-01,rice,98.9,42.0
2013-11-01,rice,101.2,42.0
2013-12-01,rice,102.53,42.0
2014-01-01,rice,102.36,38.0
2014-02-01,rice,101.4,38.0
2014-03-01,rice,99.47,38.0
2014-04-01,rice,102.1,38.0
2014-05-01,rice,100.24,38.0
2014-06-01,rice,102.95,38.0
2014-07-01,rice,101.51,38.0
2014-08-01,rice,100.14,38.0
