Name,Size,FilePath,ImageSource
United Kingdom,242495,../static/images/games/countries/United Kingdom.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/12760728_130703_0746_04.jpg
Ireland,70273,../static/images/games/countries/Ireland.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370404_130703_0752_24.jpg
France,551695,../static/images/games/countries/France.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370415_130703_0748_13.jpg
Spain,498511,../static/images/games/countries/Spain.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370422_130703_0752_28.jpg
Italy,301318,../static/images/games/countries/Italy.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370462_130703_0753_29.jpg
Greece,131940,../static/images/games/countries/Greece.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370518_130703_0754_09.jpg
Turkey,783562,../static/images/games/countries/Turkey.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370523_130703_0754_59.jpg
Iceland,102775,../static/images/games/countries/Iceland.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370527_130703_0755_04.jpg
Portugal,88416,../static/images/games/countries/Portugal.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370534_130703_0755_50.jpg
Germany,357386,../static/images/games/countries/Germany.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370540_130703_0756_36.jpg
Denmark,44493,../static/images/games/countries/Denmark.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370544_130703_0757_08.jpg
Norway,385178,../static/images/games/countries/Norway.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370548_130703_0757_32.jpg
Netherlands,41198,../static/images/games/countries/Netherlands.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370560_130703_0758_13.jpg
Sweden,447425,../static/images/games/countries/Sweden.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370562_130703_0758_45.jpg
Luxembourg,2586,../static/images/games/countries/Luxembourg.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370568_130703_0759_38.jpg
Finland,338145,../static/images/games/countries/Finland.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370603_130703_0800_15.jpg
Russia,3968200,../static/images/games/countries/Russia.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370823_130703_0820_01.png
Switzerland,41290,../static/images/games/countries/Switzerland.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17370825_130703_0842_39.jpg
Liechtenstein,160,../static/images/games/countries/Liechtenstein.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17371268_130703_0857_16.jpg
Slovenia,20273,../static/images/games/countries/Slovenia.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17371287_130703_0859_34.jpg
Slovakia,49036,../static/images/games/countries/Slovakia.jpg,https://static.memrise.com/thumbor/unsafe/100x0/uploads/things/images/17371297_130703_0903_45.jpg
